Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
22687170,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Abeillia,abeillei,"(Lesson & DeLattre, 1839)",,,,,"",Emerald-chinned Hummingbird,,,LC,,3.1,2012,decreasing,N
47760825,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrawayaomys,ruschii,"Cunha & Cruz, 1979",,,,,"",Ruschi's Rat,,,LC,,3.1,2016,unknown,N
42656,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,bennettii,"Waterhouse, 1837",,,,,"",Bennett's Chinchilla Rat,,,LC,,3.1,2016,unknown,N
42657,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,cinerea,"Thomas, 1919",,,,,"",Ashy Chinchilla Rat,,,LC,,3.1,2016,stable,N
22715451,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,SYLVIIDAE,Abroscopus,albogularis,"(Hodgson, 1854)",,,,,"",Rufous-faced Warbler,,,LC,,3.1,2012,stable,N
22715454,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,SYLVIIDAE,Abroscopus,schisticeps,"(Gray, 1846)",,,,,"",Black-faced Warbler,,,LC,,3.1,2012,stable,N
22731005,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,SYLVIIDAE,Abroscopus,superciliaris,"(Blyth, 1859)",,,,,"","Yellow-bellied Warbler, Yellow-belled Warbler",,,LC,,3.1,2012,stable,N
4803,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,andinus,"(Philippi, 1858)",,,,,Chroeomys andinus  ,"Andean Akodont, Andean Altiplano Mouse, Andean Grass Mouse",,,LC,,3.1,2008,unknown,N
4804,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,jelskii,"(Thomas, 1894)",,,,,Chroeomys jelskii  ,"Jelski's Altiplano Mouse, Ornate Akodont, Ornate Grass Mouse",,,LC,,3.1,2016,stable,N
740,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,lanosus,"(Thomas, 1897)",,,,,Akodon lanosus  ,"Woolly Grass Mouse, Woolly Akodont",,,LC,,3.1,2016,stable,N
743,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,longipilis,"(Waterhouse, 1837)",,,,,Akodon longipilis  ,"Long-haired Akodont, Long-haired Grass Mouse",,,LC,,3.1,2008,decreasing,N
751,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,olivaceus,"(Waterhouse, 1837)",,,,,Abrothrix hershkovitzi|Abrothrix markhami|Akodon mansoensis  |Akodon olivaceus  |Akodon xanthorhinus  ,"Olive Grass Mouse, Olive-coloured Akodont",,,LC,,3.1,2008,stable,N
754,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,sanborni,"(Osgood, 1943)",,,,,Akodon sanborni  ,"Sanborn's Grass Mouse, Sanborn's Akodont",,,NT,,3.1,2008,decreasing,N
22678440,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Aburria,aburri,"(Lesson, 1828)",,,,,"",Wattled Guan,,,NT,,3.1,2012,decreasing,N
22704451,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Acanthagenys,rufogularis,"Gould, 1838",,,,,"",Spiny-cheeked Honeyeater,,,LC,,3.1,2012,decreasing,N
22698577,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHISITTIDAE,Acanthisitta,chloris,"(Sparrman, 1787)",,,,,"",Rifleman,,,LC,,3.1,2012,decreasing,N
56054,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Acanthixalus,sonjae,"Rödel, Kosuch, Veith & Ernst, 2003",,,,,"",Ivory Coast Wart Frog,,,NT,,3.1,2006,decreasing,N
22731025,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,apicalis,"Gould, 1847",,,,,"",Inland Thornbill,,,LC,,3.1,2012,decreasing,N
22704647,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,chrysorrhoa,"(Quoy & Gaimard, 1830)",,,,,"",Yellow-rumped Thornbill,,,LC,,3.1,2012,decreasing,N
22704635,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,ewingii,"Gould, 1844",,,,,"",Tasmanian Thornbill,,,LC,,3.1,2012,decreasing,N
22704641,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,inornata,"Gould, 1841",,,,,"",Western Thornbill,,,LC,,3.1,2012,decreasing,N
22704644,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,iredalei,"Mathews, 1911",,,,,"",Slender-billed Thornbill,,,LC,,3.1,2012,decreasing,N
22704627,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,katherina,"De Vis, 1905",,,,,"",Mountain Thornbill,,,LC,,3.1,2012,stable,N
22704656,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,lineata,"Gould, 1838",,,,,"",Striated Thornbill,,,LC,,3.1,2012,decreasing,N
22704653,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,nana,"Vigors & Horsfield, 1827",,,,,"",Yellow Thornbill,,,LC,,3.1,2012,decreasing,N
22704630,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,pusilla,"(White, 1790)",,,,,"",Brown Thornbill,,,LC,,3.1,2012,stable,N
22704638,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,reguloides,"Vigors & Horsfield, 1827",,,,,"",Buff-rumped Thornbill,,,LC,,3.1,2012,decreasing,N
22704659,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,robustirostris,"Milligan, 1903",,,,,"",Slaty-backed Thornbill,,,LC,,3.1,2012,stable,N
22704650,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthiza,uropygialis,"Gould, 1838",,,,,"",Chestnut-rumped Thornbill,,,LC,,3.1,2012,decreasing,N
22704424,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Acanthorhynchus,superciliosus,"Gould, 1837",,,,,"",Western Spinebill,,,LC,,3.1,2012,decreasing,N
22704421,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Acanthorhynchus,tenuirostris,"(Latham, 1801)",,,,,"",Eastern Spinebill,,,LC,,3.1,2012,decreasing,N
22704585,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHIZIDAE,Acanthornis,magna,"(Gould, 1855)",,,,,Acanthornis magnus |Acanthornis magnus |Acanthornis magnus ,Scrubtit,,,LC,,3.1,2012,decreasing,N
22695490,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,badius,"(Gmelin, 1788)",,,,,"",Shikra,Epervier shikra,,LC,,3.1,2015,stable,N
22695669,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,bicolor,"(Vieillot, 1817)",,,,,"","Bicolored Hawk, Bicolored Hawk",,,LC,,3.1,2012,unknown,N
22695499,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,brevipes,"(Severtsov, 1850)",,,,,"",Levant Sparrowhawk,Epervier à pieds courts,,LC,,3.1,2015,stable,N
22695599,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,cirrocephalus,"(Vieillot, 1817)",,,,,Accipiter cirrhocephalus cirrhocephalus,Collared Sparrowhawk,,,LC,,3.1,2012,decreasing,N
22695568,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,collaris,"Sclater, 1860",,,,,"","Semi-collared Hawk, Semi-collared Sparrowhawk, Semi-collared Hawk",,"Azer Semicollarejo, Gavilán Acollarado, Gavilancito Torcaz",NT,,3.1,2012,stable,N
22695656,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,cooperii,"(Bonaparte, 1828)",,,,,"",Cooper's Hawk,,,LC,,3.1,2012,increasing,N
22695576,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,erythropus,"(Hartlaub, 1855)",,,,,"","Red-legged Sparrowhawk, Western Little Sparrowhawk",Epervier de Hartlaub,,LC,,3.1,2012,decreasing,N
22695527,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,fasciatus,"(Vigors & Horsfield, 1827)",,,,,"",Brown Goshawk,,,LC,,3.1,2012,decreasing,N
22695683,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,gentilis,"(Linnaeus, 1758)",,,,,"","Northern Goshawk, Eurasian Goshawk, Goshawk",Autour des palombes,,LC,,3.1,2015,unknown,N
22695585,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,gularis,"(Temminck & Schlegel, 1844)",,,,,"",Japanese Sparrowhawk,,,LC,,3.1,2015,stable,N
22695673,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,melanoleucus,"Smith, 1830",,,,,"","Black Sparrowhawk, Black Sparrowhawk",Autour noir,,LC,,3.1,2012,decreasing,N
22695581,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,minullus,"(Daudin, 1800)",,,,,"",Little Sparrowhawk,Epervier minule,,LC,,3.1,2012,stable,N
22695624,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,nisus,"(Linnaeus, 1758)",,,,,"","Eurasian Sparrowhawk, Sparrowhawk, European Sparrowhawk",Epervier d'Europe,,LC,,3.1,2015,stable,N
22727714,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,novaehollandiae,"(Gmelin, 1788)",,,,,"",Grey Goshawk,,,LC,,3.1,2014,decreasing,N
22695619,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,ovampensis,"Gurney, 1875",,,,,"","Ovambo Sparrowhawk, Ovambo Sparrowhawk",Epervier de l'Ovampo,,LC,,3.1,2015,increasing,N
22695453,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,poliogaster,"(Temminck, 1824)",,,,,"","Grey-bellied Goshawk, Grey-bellied Hawk, Grey-bellied Goshawk",,"Azor Pechigrís, Azor Ventigrís, Esparvero Pechigrís, Gavilán Vientrigris",NT,,3.1,2012,increasing,N
22695630,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,rufiventris,"Smith, 1830",,,,,"","Rufous-breasted Sparrowhawk, Red-breasted Sparrowhawk, Rufous-breasted Sparrowhawk",Epervier menu,,LC,,3.1,2012,increasing,N
22695503,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,soloensis,"(Horsfield, 1821)",,,,,"","Chinese Sparrowhawk, Chinese Sparrowhawk, Gray Frog-Hawk",,,LC,,3.1,2015,decreasing,N
22734130,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,striatus,"Vieillot, 1807",,,,,"",Sharp-shinned Hawk,,,LC,,3.1,2012,increasing,N
22695565,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,superciliosus,"(Linnaeus, 1766)",,,,,"",Tiny Hawk,,,LC,,3.1,2012,decreasing,N
22727697,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,tachiro,"(Daudin, 1800)",,,,,"",African Goshawk,,,LC,,3.1,2015,decreasing,N
22727705,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,toussenelii,"(Verreaux & Verreaux, 1855)",,,,,"",Red-chested Goshawk,,,LC,,3.1,2014,decreasing,N
22695462,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,trivirgatus,"(Temminck, 1824)",,,,,"",Crested Goshawk,,,LC,,3.1,2012,decreasing,N
